year,profession,sex,count
70,unemployed,X,1
71,child,F,48
71,child,M,64
71,child,X,4
71,civil servant,F,12
71,civil servant,M,16
71,craftsman,F,27
71,craftsman,M,23
71,craftsman,X,2
71,farmer,F,30
71,farmer,M,35
71,fisher,F,37
71,fisher,M,32
71,fisher,X,4
71,homemaker,F,30
71,homemaker,M,31
71,homemaker,X,3
71,retired,F,21
71,retired,M,20
71,retired,X,1
71,service provider,F,21
71,service provider,M,18
71,service provider,X,1
71,unemployed,F,13
71,unemployed,M,11
71,unemployed,X,1
72,child,F,48
72,child,M,62
72,child,X,4
72,civil servant,F,13
72,civil servant,M,16
72,craftsman,F,27
72,craftsman,M,23
72,craftsman,X,2
72,farmer,F,33
72,farmer,M,36
72,fisher,F,37
72,fisher,M,35
72,fisher,X,4
72,homemaker,F,30
72,homemaker,M,31
72,homemaker,X,3
72,retired,F,18
72,retired,M,20
72,retired,X,1
72,service provider,F,21
72,service provider,M,18
72,service provider,X,1
72,unemployed,F,13
72,unemployed,M,11
72,unemployed,X,1
73,child,F,49
73,child,M,60
73,child,X,4
73,civil servant,F,15
73,civil servant,M,17
73,craftsman,F,27
73,craftsman,M,23
73,craftsman,X,2
73,farmer,F,34
73,farmer,M,36
73,fisher,F,38
73,fisher,M,37
73,fisher,X,4
73,homemaker,F,30
73,homemaker,M,32
73,homemaker,X,3
73,retired,F,16
73,retired,M,16
73,retired,X,1
73,service provider,F,22
73,service provider,M,18
73,service provider,X,1
73,unemployed,F,10
73,unemployed,M,12
73,unemployed,X,1
74,child,F,51
74,child,M,57
74,child,X,3
74,civil servant,F,15
74,civil servant,M,17
74,craftsman,F,27
74,craftsman,M,23
74,craftsman,X,2
74,farmer,F,34
74,farmer,M,39
74,fisher,F,39
74,fisher,M,38
74,fisher,X,4
74,homemaker,F,30
74,homemaker,M,33
74,homemaker,X,4
74,retired,F,15
74,retired,M,13
74,retired,X,1
74,service provider,F,22
74,service provider,M,19
74,service provider,X,1
74,unemployed,F,12
74,unemployed,M,9
74,unemployed,X,1
75,child,F,49
75,child,M,56
75,child,X,3
75,civil servant,F,16
75,civil servant,M,17
75,craftsman,F,28
75,craftsman,M,25
75,craftsman,X,2
75,farmer,F,34
75,farmer,M,41
75,fisher,F,40
75,fisher,M,38
75,fisher,X,5
75,homemaker,F,31
75,homemaker,M,33
75,homemaker,X,4
75,retired,F,14
75,retired,M,11
75,retired,X,1
75,service provider,F,23
75,service provider,M,20
75,service provider,X,1
75,unemployed,F,11
75,unemployed,M,7
76,child,F,48
76,child,M,54
76,child,X,3
76,civil servant,F,16
76,civil servant,M,17
76,craftsman,F,28
76,craftsman,M,27
76,craftsman,X,2
76,farmer,F,35
76,farmer,M,42
76,fisher,F,40
76,fisher,M,39
76,fisher,X,5
76,homemaker,F,32
76,homemaker,M,33
76,homemaker,X,4
76,retired,F,16
76,retired,M,12
76,service provider,F,23
76,service provider,M,20
76,service provider,X,1
76,unemployed,F,9
76,unemployed,M,6
77,child,F,46
77,child,M,52
77,child,X,3
77,civil servant,F,16
77,civil servant,M,17
77,craftsman,F,28
77,craftsman,M,26
77,craftsman,X,2
77,farmer,F,35
77,farmer,M,42
77,fisher,F,40
77,fisher,M,40
77,fisher,X,5
77,homemaker,F,32
77,homemaker,M,34
77,homemaker,X,4
77,retired,F,18
77,retired,M,14
77,service provider,F,24
77,service provider,M,20
77,service provider,X,1
77,unemployed,F,10
77,unemployed,M,6
78,child,F,44
78,child,M,50
78,child,X,3
78,civil servant,F,16
78,civil servant,M,17
78,craftsman,F,29
78,craftsman,M,26
78,craftsman,X,2
78,farmer,F,36
78,farmer,M,42
78,fisher,F,39
78,fisher,M,40
78,fisher,X,4
